"Rut","Cliente","NumFacturas","NumVencidas","MontoVencido","DiasMoraProm","DiasMoraMax","kpi_monto","kpi_mora","kpi_venc","score_riesgo","Riesgo"
71,"BS",24,1,123652,47,47,0.0366145868496389,0.431192660550459,0.333333333333333,0.214331758256624,"Medio"
72,"BT",24,1,63835,47,47,0.0189021783031953,0.431192660550459,0.333333333333333,0.205475553983402,"Bajo"
73,"BU",25,1,47286,47,47,0.014001854832692,0.431192660550459,0.333333333333333,0.20302539224815,"Bajo"
74,"BV",25,1,331991,47,47,0.0983058365638928,0.431192660550459,0.333333333333333,0.245177383113751,"Alto"
75,"BW",24,1,243142,47,47,0.0719967641105272,0.431192660550459,0.333333333333333,0.232022846887068,"Alto"
76,"BX",24,1,99772,47,47,0.0295434813764612,0.431192660550459,0.333333333333333,0.210796205520035,"Medio"
77,"BY",24,0,0,0,0,0,0,0,0,"Bajo"
78,"BZ",23,1,61944,47,47,0.0183422343982631,0.431192660550459,0.333333333333333,0.205195582030936,"Bajo"
79,"CA",23,1,85114,47,47,0.02520310181089,0.431192660550459,0.333333333333333,0.208626015737249,"Medio"
80,"CB",24,1,1796704,47,47,0.532021921611407,0.431192660550459,0.333333333333333,0.462035425637508,"Alto"
81,"CC",24,0,0,0,0,0,0,0,0,"Bajo"
82,"CD",22,1,87006,47,47,0.0257633418257665,0.431192660550459,0.333333333333333,0.208906135744688,"Medio"
83,"CE",22,1,99772,47,47,0.0295434813764612,0.431192660550459,0.333333333333333,0.210796205520035,"Medio"
84,"CF",22,1,191979,47,47,0.0568468910232494,0.431192660550459,0.333333333333333,0.224447910343429,"Medio"
85,"CG",22,0,0,0,0,0,0,0,0,"Bajo"
86,"CH",26,1,909629,47,47,0.26935019264913,0.431192660550459,0.333333333333333,0.330699561156369,"Alto"
87,"CI",22,0,0,0,0,0,0,0,0,"Bajo"
88,"CJ",21,1,121524,47,47,0.035984464887875,0.431192660550459,0.333333333333333,0.214016697275742,"Medio"
89,"CK",21,1,177084,47,47,0.0524363334008464,0.431192660550459,0.333333333333333,0.222242631532228,"Medio"
90,"CL",21,1,739591,47,47,0.219000249916793,0.431192660550459,0.333333333333333,0.305524589790201,"Alto"
91,"CM",21,1,99772,47,47,0.0295434813764612,0.431192660550459,0.333333333333333,0.210796205520035,"Medio"
92,"CN",21,1,163607,47,47,0.0484456596796564,0.431192660550459,0.333333333333333,0.220247294671633,"Medio"
93,"CO",22,1,169755,47,47,0.0502661436180608,0.431192660550459,0.333333333333333,0.221157536640835,"Medio"
94,"CP",21,1,164836,47,47,0.0488095788013706,0.431192660550459,0.333333333333333,0.22042925423249,"Medio"
95,"CQ",20,1,351803,47,47,0.104172366783097,0.431192660550459,0.333333333333333,0.248110648223353,"Alto"
96,"CR",20,0,0,0,0,0,0,0,0,"Bajo"
97,"CS",20,1,222714,47,47,0.0659478301655491,0.431192660550459,0.333333333333333,0.228998379914579,"Medio"
98,"CT",20,1,26007,47,47,0.00770093132499725,0.431192660550459,0.333333333333333,0.199874930494303,"Bajo"
99,"CU",20,1,151313,47,47,0.0448052840227365,0.431192660550459,0.333333333333333,0.218427106843173,"Medio"
100,"CV",21,1,99772,47,47,0.0295434813764612,0.431192660550459,0.333333333333333,0.210796205520035,"Medio"
101,"CW",19,1,99772,47,47,0.0295434813764612,0.431192660550459,0.333333333333333,0.210796205520035,"Medio"
102,"CX",19,3,198281,78.3333333333333,109,0.0587129758930972,0.718654434250764,1,0.444952818221778,"Alto"
103,"CY",19,1,321068,47,47,0.0950714276407973,0.431192660550459,0.333333333333333,0.243560178652203,"Alto"
104,"CZ",19,1,293170,47,47,0.0868105524108679,0.431192660550459,0.333333333333333,0.239429741037238,"Alto"
